wave_peak	wave_base	wave_top	note
531.981	531.931	532.031	Nd 2
531.981	531.931	532.031	Nd 2
531.98177	531.9318	532.0318	Nd 2
531.9819	531.9319	532.0319	Nd 2
531.9821	531.9321	532.0321	Nd 2
531.98321	531.9332	532.0332	Nd 2
531.98384	531.9338	532.0338	Nd 2
535.69954	535.6495	535.7495	Nd 2
535.69954	535.6495	535.7495	Nd 2
535.69954	535.6495	535.7495	Nd 2
535.69954	535.6495	535.7495	Nd 2
535.69954	535.6495	535.7495	Nd 2
535.69954	535.6495	535.7495	Nd 2
535.69954	535.6495	535.7495	Nd 2
536.1150700000001	536.0651	536.1651	Nd 2
536.11617	536.0662	536.1662	Nd 2
536.11682	536.0668	536.1668	Nd 2
536.11716	536.0672	536.1672	Nd 2
536.11817	536.0682	536.1682	Nd 2
536.1183	536.0683	536.1683	Nd 2
536.11934	536.0693	536.1693	Nd 2
536.11934	536.0693	536.1693	Nd 2
536.11934	536.0693	536.1693	Nd 2
536.11934	536.0693	536.1693	Nd 2
536.11934	536.0693	536.1693	Nd 2
536.11956	536.0696	536.1696	Nd 2
536.11968	536.0697	536.1697	Nd 2
536.12058	536.0706	536.1706	Nd 2
536.1212800000001	536.0713	536.1713	Nd 2
536.12168	536.0717	536.1717	Nd 2
536.12311	536.0731	536.1731	Nd 2
541.6372	541.5872	541.6872	Nd 2
541.63729	541.5873	541.6873	Nd 2
541.6374	541.5874	541.6874	Nd 2
541.6374	541.5874	541.6874	Nd 2
541.6374	541.5874	541.6874	Nd 2
541.6383	541.5883	541.6883	Nd 2
541.63845	541.5885	541.6884	Nd 2
541.63943	541.5894	541.6894	Nd 2
541.63967	541.5897	541.6897	Nd 2
541.64218	541.5922	541.6922	Nd 2
543.1485399999999	543.0985	543.1985	Nd 2
543.14968	543.0997	543.1997	Nd 2
543.14981	543.0998	543.1998	Nd 2
543.1508799999999	543.1009	543.2009	Nd 2
543.15134	543.1013	543.2013	Nd 2
543.1515999999999	543.1016	543.2016	Nd 2
543.1515999999999	543.1016	543.2016	Nd 2
543.1515999999999	543.1016	543.2016	Nd 2
543.15207	543.1021	543.2021	Nd 2
543.15281	543.1028	543.2028	Nd 2
543.1531699999999	543.1032	543.2032	Nd 2
543.1533400000001	543.1033	543.2033	Nd 2
543.1544	543.1044	543.2044	Nd 2
543.15508	543.1051	543.2051	Nd 2
553.3805	553.3305	553.4305	Nd 2
553.38139	553.3314	553.4314	Nd 2
553.38185	553.3318	553.4318	Nd 2
553.38191	553.3319	553.4319	Nd 2
553.382	553.332	553.432	Nd 2
553.382	553.332	553.432	Nd 2
553.382	553.332	553.432	Nd 2
554.84307	554.7931	554.8931	Nd 2
554.84317	554.7932	554.8932	Nd 2
554.8433	554.7933	554.8933	Nd 2
554.8433	554.7933	554.8933	Nd 2
554.8433	554.7933	554.8933	Nd 2
554.8433	554.7933	554.8933	Nd 2
554.8433	554.7933	554.8933	Nd 2
554.8442	554.7942	554.8942	Nd 2
554.8443100000001	554.7943	554.8943	Nd 2
554.8456100000001	554.7956	554.8956	Nd 2
558.15751	558.1075	558.2075	Nd 2
558.1584300000001	558.1084	558.2084	Nd 2
558.15868	558.1087	558.2087	Nd 2
558.159	558.109	558.209	Nd 2
558.159	558.109	558.209	Nd 2
558.159	558.109	558.209	Nd 2
558.1594	558.1094	558.2094	Nd 2
558.15985	558.1099	558.2098	Nd 2
558.16131	558.1113	558.2113	Nd 2
558.16448	558.1145	558.2145	Nd 2
561.899	561.849	561.949	Nd 2
574.08216	574.0322	574.1322	Nd 2
574.0834	574.0334	574.1334	Nd 2
574.08366	574.0337	574.1337	Nd 2
574.08486	574.0349	574.1349	Nd 2
574.085	574.035	574.135	Nd 2
574.0858000000001	574.0358	574.1358	Nd 2
574.0858000000001	574.0358	574.1358	Nd 2
574.0858000000001	574.0358	574.1358	Nd 2
574.08618	574.0362	574.1362	Nd 2
574.08626	574.0363	574.1363	Nd 2
574.0871500000001	574.0372	574.1372	Nd 2
574.08752	574.0375	574.1375	Nd 2
574.08781	574.0378	574.1378	Nd 2
574.089	574.039	574.139	Nd 2
574.08903	574.039	574.139	Nd 2
581.1558699999999	581.1059	581.2059	Nd 2
581.1560400000001	581.106	581.206	Nd 2
581.1569999999999	581.107	581.207	Nd 2
581.1569999999999	581.107	581.207	Nd 2
581.1569999999999	581.107	581.207	Nd 2
581.1570300000001	581.107	581.207	Nd 2
581.15706	581.1071	581.2071	Nd 2
581.15824	581.1082	581.2082	Nd 2
581.1583499999999	581.1084	581.2083	Nd 2
581.16048	581.1105	581.2105	Nd 2
584.23306	584.1831	584.2831	Nd 2
584.23438	584.1844	584.2844	Nd 2
584.23453	584.1845	584.2845	Nd 2
584.23578	584.1858	584.2858	Nd 2
584.23599	584.186	584.286	Nd 2
584.2366	584.1866	584.2866	Nd 2
584.2366	584.1866	584.2866	Nd 2
584.2366	584.1866	584.2866	Nd 2
584.2366	584.1866	584.2866	Nd 2
584.23713	584.1871	584.2871	Nd 2
584.23715	584.1872	584.2872	Nd 2
584.23842	584.1884	584.2884	Nd 2
584.23861	584.1886	584.2886	Nd 2
584.23984	584.1898	584.2898	Nd 2
584.242	584.192	584.292	Nd 2
636.5508600000001	636.5009	636.6009	Nd 2
636.5508600000001	636.5009	636.6009	Nd 2
636.5508600000001	636.5009	636.6009	Nd 2
636.5508600000001	636.5009	636.6009	Nd 2
636.5508600000001	636.5009	636.6009	Nd 2
636.5508600000001	636.5009	636.6009	Nd 2
636.5508600000001	636.5009	636.6009	Nd 2
663.71099	663.661	663.761	Nd 2
663.7123300000001	663.6623	663.7623	Nd 2
663.71299	663.663	663.763	Nd 2
663.71345	663.6634	663.7634	Nd 2
663.71463	663.6646	663.7646	Nd 2
663.71479	663.6648	663.7648	Nd 2
663.71586	663.6659	663.7659	Nd 2
663.71586	663.6659	663.7659	Nd 2
663.71586	663.6659	663.7659	Nd 2
663.71586	663.6659	663.7659	Nd 2
663.71586	663.6659	663.7659	Nd 2
663.7161699999999	663.6662	663.7662	Nd 2
663.71636	663.6664	663.7664	Nd 2
663.7172899999999	663.6673	663.7673	Nd 2
663.71816	663.6682	663.7682	Nd 2
663.7185400000001	663.6685	663.7685	Nd 2
663.72018	663.6702	663.7702	Nd 2
853.0417100000001	852.9917	853.0917	Nd 2
853.0465399999999	852.9965	853.0965	Nd 2
853.04812	852.9981	853.0981	Nd 2
853.0491099999999	852.9991	853.0991	Nd 2
853.05054	853.0005	853.1005	Nd 2
853.05381	853.0038	853.1038	Nd 2
853.0540800000001	853.0041	853.1041	Nd 2
853.0545	853.0045	853.1045	Nd 2
853.0545	853.0045	853.1045	Nd 2
853.0545	853.0045	853.1045	Nd 2
853.0545	853.0045	853.1045	Nd 2
853.0571299999999	853.0071	853.1071	Nd 2
853.05872	853.0087	853.1087	Nd 2
853.0597	853.0097	853.1097	Nd 2
853.0617599999999	853.0118	853.1118	Nd 2
853.06286	853.0129	853.1129	Nd 2
853.0633099999999	853.0133	853.1133	Nd 2
853.06435	853.0144	853.1144	Nd 2
853.0661899999999	853.0162	853.1162	Nd 2
853.0687	853.0187	853.1187	Nd 2
853.0703799999999	853.0204	853.1204	Nd 2
859.4883	859.4383	859.5383	Nd 2
869.1303	869.0803	869.1803	Nd 2
