Element	Ion	Isotope	lambda	r_lambda	loggf	e_loggf	r_loggf	gfflag	synflag	Labellow	Jlow	Elow	r_Elow	Labelup	Jup	Eup	r_Eup	Rad-damp	r_Rad-damp	Sta-damp	r_Sta-damp	Vdw-damp	r_Vdw-damp
Fe	1	0	5461.5495	K07	-1.8	0.06	MRW	U	U	'  LS                                                                  3p6.3d7.(4F).4p z5G*'	2.0	4.446	K07	'  LS                                                                   3p6.3d7.(4F).4d f5G'	3.0	6.715	K07	8.33	K07	-4.63	K07	958.28	BA-J,BPM
Fe	1	0	5463.2755	K07	0.07		BKor|2006JPCRD..35.1669F	U	U	'  LS                                                                  3p6.3d7.(4F).4p z3G*'	4.0	4.435	K07	'  LS                                                                   3p6.3d7.(4F).4d e3G'	4.0	6.703	K07	8.28	K07	-4.69	K07	944.28	BA-J,BPM
Fe	1	0	5464.2796	BWL	-1.402	0.167	BWL	Y	U	'  LS                                                                           3p6.3d8 c3F'	3.0	4.143	K07	'  LS                                                                  3p6.3d7.(2P).4p y1D*'	2.0	6.411	K07	7.99	K07	-5.26	K07	380.25	BA-J,BPM
Ti	1	0	5465.7728	LGWSC	-2.91		2013ApJS..205...11L	Y	U	'  LS                                                                           3d2.4s2 a3P'	2.0	1.067	LGWSC	'  LS                                                             3d2.(1D).4s.4p.(3P*) x3F*'	3.0	3.334	LGWSC	7.87	K10	-6.07	K10	-7.75	K10
Fe	1	0	5466.3958	K07	-0.63		WBW|FMW	U	Y	'  LS                                                                  3p6.3d7.(4F).4p z5G*'	4.0	4.371	K07	'  LS                                                                   3p6.3d7.(4F).4d h5D'	3.0	6.639	K07	8.31	K07	-4.58	K07	865.278	BA-J,BPM
Fe	1	0	5470.0927	K07	-1.71	0.06	MRW	U	U	'  LS                                                                  3p6.3d7.(4F).4p z5G*'	2.0	4.446	K07	'  LS                                                                   3p6.3d7.(4F).4d h5D'	1.0	6.712	K07	8.33	K07	-4.72	K07	953.28	BA-J,BPM
Ti	1	0	5471.192	LGWSC	-1.42		2013ApJS..205...11L	Y	Y	'  LS                                                                       3d3.(4F).4s b3F'	3.0	1.443	LGWSC	'  LS                                                             3d2.(3F).4s.4p.(1P*) w3D*'	3.0	3.709	LGWSC	8.19	K10	-6.1	K10	373.26	BA-J,BPM
Fe	1	0	5473.9005	FMW	-0.72	0.03	2014MNRAS.441.3127R	Y	U	'  LS                                                                       -          y5D*'	3.0	4.154	K07	'  LS                                                                  -                g5D'	3.0	6.419	K07	8.47	K07	-5.34	K07	738.241	BA-J,BPM
Fe	1	0	5476.5642	BWL	-0.309	0.01	BWL+GESHRL14	Y	U	'  LS                                                                  3p6.3d7.(4F).4p y5D*'	4.0	4.103	K07	'  LS                                                         3p6.3d6.(5D).4s.\ (4D).5s g5D'	4.0	6.367	K07	8.46	K07	-5.0	K07	-7.53	K07
Ni	1	0	5476.9035	K08	-0.78		2014ApJS..211...20W	Y	U	'  LS                                                                              3d10 a1S'	0.0	1.826	K08	'  LS                                                                      3d9.(2D).4p z1P*'	1.0	4.089	K08	8.26	K08	-6.01	K08	-7.75	K08
