requested_name,match_name,element,median_value,mean_value,reported_value,catalog_id,catalog_citation,catalog_doi,note,solarnorm,median_uncertainty,std_dev,unique_citations,unique_dois
hd 10700,hd10700,Eu_II,-0.02,-0.03,,,,,SUMMARY (median/mean),,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Pagano (2014) (2014),
hd 10700,hd10700,Eu_II,,,-0.02,allendeprieto04_raw_01_01_2025,Allende Prieto et al. (2004) (2004),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Pagano (2014) (2014),
hd 10700,hd10700,Eu_II,,,-0.28,casamiquela20_raw_22_01_2025,Casamiquela et al. (2020) (2020),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Pagano (2014) (2014),
hd 10700,hd10700,Eu_II,,,-0.08,delgadomena17_raw_01_01_2025,Delgado Mena et al. (2017) (2017),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Pagano (2014) (2014),
hd 10700,hd10700,Eu_II,,,0.08,luck17_01_of_02_unique_01_01_2025,Luck (2017) (2017),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Pagano (2014) (2014),
hd 10700,hd10700,Eu_II,,,0.07,pagano14_raw_01_01_2025,Pagano (2014) (2014),,individual measurement,grevesse07,,,Allende Prieto et al. (2004) (2004); Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017); Pagano (2014) (2014),
hd 10700,hd10700,Y_II,-0.58,-0.44,,,,,SUMMARY (median/mean),,,,Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017),
hd 10700,hd10700,Y_II,,,-0.61,casamiquela20_raw_22_01_2025,Casamiquela et al. (2020) (2020),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017),
hd 10700,hd10700,Y_II,,,-0.58,delgadomena17_raw_01_01_2025,Delgado Mena et al. (2017) (2017),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017),
hd 10700,hd10700,Y_II,,,-0.24,luck17_01_of_02_unique_01_01_2025,Luck (2017) (2017),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Delgado Mena et al. (2017) (2017); Luck (2017) (2017),
hd 100407,hd100407,Ba_II,0.23,0.24,,,,,SUMMARY (median/mean),,,,Casamiquela et al. (2020) (2020); Luck (2015) (2015),
hd 100407,hd100407,Ba_II,,,0.34,casamiquela20_raw_22_01_2025,Casamiquela et al. (2020) (2020),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Luck (2015) (2015),
hd 100407,hd100407,Ba_II,,,0.12,luck15_01_of_02_unique_01_01_2025,Luck (2015) (2015),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Luck (2015) (2015),
hd 100407,hd100407,Eu_II,0.13,0.13,,,,,SUMMARY (median/mean),,,,Casamiquela et al. (2020) (2020); Luck (2015) (2015),
hd 100407,hd100407,Eu_II,,,0.16,casamiquela20_raw_22_01_2025,Casamiquela et al. (2020) (2020),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Luck (2015) (2015),
hd 100407,hd100407,Eu_II,,,0.1,luck15_01_of_02_unique_01_01_2025,Luck (2015) (2015),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020); Luck (2015) (2015),
hd 100407,hd100407,Y_II,0.4,0.4,,,,,SUMMARY (median/mean),,,,Casamiquela et al. (2020) (2020),
hd 100407,hd100407,Y_II,,,0.4,casamiquela20_raw_22_01_2025,Casamiquela et al. (2020) (2020),,individual measurement,grevesse07,,,Casamiquela et al. (2020) (2020),
