ID1 ID2 RA DEC SPT VMAG B-V E(B-V) TEFF LOGG FEH
Sun Sun 0 0 G2V 4.83 0 0 5778 4.43 0
ksiHya HD100407 "11 33 00.115" " -31 51 27.44" G7III 3.541 0.947 0.011 5044 2.87 0.16
alfCenB HD128621 "14 39 35.063" " -60 50 15.10" K1V 1.357 0.868 0.022 5231 4.53 0.22
