ID1 ID2 RA DEC SPT VMAG B-V E(B-V) TEFF LOGG FEH
Sun Sun 0 0 G2V 4.83 0 0 5778 4.43 0
 hd45588 "06 27 11.36" "-25 51 23.39" F8IV 6.07 0.54  6168 4.27 0.08
betVir HD102870 "11 50 41.718" " 01 45 52.99" F9V 3.608 0.551 0.008 6083 4.1 0.24
alfCenA HD128620 "14 39 36.494" " -60 50 02.37" G2V 0.002 0.653 0.023 5792 4.31 0.26
