element	wave_A	wave_nm	loggf	EP	species	gamma	gamma6	vdW
106.1	5101.249	510.12489999999997	-6.036	1.056	106.00112	0.0	0.0	0.0
106.1	5101.249	510.12489999999997	-6.287	1.579	106.00112	0.0	0.0	0.0
112.1	5101.252	510.12520000000006	-3.317	0.624	112.00124	0.0	0.0	0.0
112.1	5101.268	510.1268	-3.317	0.624	112.00124	0.0	0.0	0.0
112.1	5101.307	510.1307	-0.121	0.554	112.00124	0.0	0.0	0.0
106.1	5101.34	510.134	-5.217	2.338	106.00113	0.0	0.0	0.0
112.1	5101.346	510.1346	0.667	0.622	112.00126	0.0	0.0	0.0
112.1	5101.356	510.13559999999995	-2.732	0.554	112.00124	0.0	0.0	0.0
22.0	5101.401	510.14009999999996	-2.71	1.459	22.0	0.0	0.0	0.0
112.1	5101.412	510.1412	0.204	0.213	112.00124	0.0	0.0	0.0
112.1	5101.438	510.1438	0.682	0.624	112.00124	0.0	0.0	0.0
24.0	5101.468	510.1468	-3.05	4.529	24.0	0.0	0.0	0.0
106.1	5101.488	510.14880000000005	-6.22	2.275	106.00113	0.0	0.0	0.0
25.0	5101.525	510.1525	-3.15	4.723	25.0	0.0	0.0	0.0
112.1	5101.549	510.1549	0.204	0.213	112.00125	0.0	0.0	0.0
106.1	5101.565	510.15649999999994	-6.02	1.056	106.00112	0.0	0.0	0.0
114.1	5101.572	510.1572	-2.903	1.769	114.00128	0.0	0.0	0.0
112.1	5101.577	510.15770000000003	0.682	0.623	112.00125	0.0	0.0	0.0
106.1	5101.607	510.1607	-3.197	1.056	106.00112	0.0	0.0	0.0
106.1	5101.638	510.1638	-11.929	1.873	106.00112	0.0	0.0	0.0
24.1	5101.663	510.1663	-3.05	6.8	24.1	0.0	0.0	0.0
112.1	5101.677	510.16769999999997	0.204	0.213	112.00126	0.0	0.0	0.0
106.1	5101.688	510.16880000000003	-7.589	1.873	106.00112	0.0	0.0	0.0
114.1	5101.694	510.16940000000005	-3.797	1.155	114.00128	0.0	0.0	0.0
24.0	5101.695	510.16949999999997	-3.21	4.851	24.0	0.0	0.0	0.0
112.1	5101.701	510.1701	0.682	0.623	112.00126	0.0	0.0	0.0
24.0	5101.768	510.1768	-3.98	5.258	24.0	0.0	0.0	0.0
106.1	5101.781	510.1781	-7.766	1.873	106.00112	0.0	0.0	0.0
26.1	5101.805	510.18050000000005	-4.38	6.133	26.1	0.0	0.0	0.0
26.0	5101.849	510.1849	-1.59	5.006	26.0	0.0	0.0	0.0
22.0	5101.855	510.18549999999993	-3.94	1.748	22.0	0.0	0.0	0.0
114.1	5101.88	510.188	-2.903	1.77	114.00128	0.0	0.0	0.0
24.0	5101.905	510.1905	-3.38	3.885	24.0	0.0	0.0	0.0
112.1	5101.939	510.19390000000004	-2.726	0.554	112.00124	0.0	0.0	0.0
26.0	5101.972	510.19719999999995	-3.54	4.635	26.0	0.0	0.0	0.0
112.1	5101.988	510.1988	-0.067	0.554	112.00124	0.0	0.0	0.0
114.1	5102.066	510.2066	-3.797	1.155	114.00128	0.0	0.0	0.0
25.1	5102.067	510.2067	-5.26	6.523	25.1	0.0	0.0	0.0
25.1	5102.098	510.2098	-3.46	5.563	25.1	0.0	0.0	0.0
42.0	5102.157	510.2157	-1.67	3.196	42.0	0.0	0.0	0.0
112.1	5102.162	510.2162	-1.827	0.078	112.00124	0.0	0.0	0.0
26.0	5102.239	510.22389999999996	-5.09	2.221	26.0	0.0	0.0	0.0
23.0	5102.244	510.22439999999995	-4.43	1.375	23.0	0.0	0.0	0.0
112.1	5102.256	510.22560000000004	0.31	0.569	112.00124	0.0	0.0	0.0
114.1	5102.266	510.22659999999996	-3.363	1.155	114.00128	0.0	0.0	0.0
23.0	5102.322	510.23220000000003	-5.06	1.217	23.0	0.0	0.0	0.0
112.1	5102.362	510.2362	-3.062	0.569	112.00124	0.0	0.0	0.0
22.0	5102.363	510.2363	-1.76	2.238	22.0	0.0	0.0	0.0
60.1	5102.39	510.23900000000003	-0.62	0.68	60.1	0.0	0.0	0.0
106.1	5102.402	510.2402	-4.295	2.153	106.00113	0.0	0.0	0.0
26.0	5102.421	510.24210000000005	-5.06	3.412	26.0	0.0	0.0	0.0
25.0	5102.47	510.247	-6.35	3.769	25.0	0.0	0.0	0.0
23.1	5102.507	510.25069999999994	-3.63	6.096	23.1	0.0	0.0	0.0
25.1	5102.517	510.25169999999997	-1.93	5.986	25.1	0.0	0.0	0.0
106.1	5102.519	510.25190000000003	-3.294	1.309	106.00113	0.0	0.0	0.0
24.0	5102.528	510.25280000000004	-2.73	3.419	24.0	0.0	0.0	0.0
106.1	5102.533	510.2533	-4.53	2.153	106.00113	0.0	0.0	0.0
112.1	5102.553	510.2553	-3.061	0.569	112.00124	0.0	0.0	0.0
106.1	5102.624	510.26239999999996	-7.501	1.309	106.00113	0.0	0.0	0.0
112.1	5102.628	510.26279999999997	-0.181	0.544	112.00124	0.0	0.0	0.0
114.1	5102.637	510.2637	-3.363	1.155	114.00128	0.0	0.0	0.0
26.0	5102.648	510.26480000000004	-1.61	4.183	26.0	0.0	0.0	0.0
112.1	5102.659	510.2659	0.333	0.569	112.00124	0.0	0.0	0.0
112.1	5102.672	510.26719999999995	-2.685	0.544	112.00124	0.0	0.0	0.0
106.1	5102.735	510.27349999999996	-3.198	1.309	106.00113	0.0	0.0	0.0
23.1	5102.752	510.27520000000004	-5.36	3.755	23.1	0.0	0.0	0.0
112.1	5102.777	510.2777	-0.87	0.51	112.00124	0.0	0.0	0.0
24.0	5102.815	510.28149999999994	-2.97	5.618	24.0	0.0	0.0	0.0
26.0	5102.819	510.28190000000006	-6.99	3.045	26.0	0.0	0.0	0.0
26.0	5102.859	510.2859	-2.27	4.909	26.0	0.0	0.0	0.0
106.1	5102.884	510.2884	-6.794	1.533	106.00113	0.0	0.0	0.0
106.1	5102.957	510.2957	-5.757	2.153	106.00113	0.0	0.0	0.0
28.0	5102.966	510.2966	-2.87	1.675	28.0	0.0	0.0	0.0
114.1	5103.01	510.30100000000004	-3.221	1.201	114.00128	0.0	0.0	0.0
28.0	5103.029	510.3029	-2.0	4.232	28.0	0.0	0.0	0.0
62.1	5103.042	510.30420000000004	-0.35	1.165	62.1154	0.0	0.0	0.0
106.1	5103.055	510.30550000000005	-6.634	0.996	106.00112	0.0	0.0	0.0
62.1	5103.059	510.3059	-0.35	1.165	62.1152	0.0	0.0	0.0
62.1	5103.093	510.3093	-0.35	1.165	62.115	0.0	0.0	0.0
106.1	5103.096	510.30959999999993	-8.975	2.003	106.00113	0.0	0.0	0.0
114.1	5103.096	510.30959999999993	-2.681	1.44	114.00128	0.0	0.0	0.0
114.1	5103.103	510.3103	-3.221	1.201	114.00128	0.0	0.0	0.0
62.1	5103.112	510.3112	-0.35	1.165	62.1149	0.0	0.0	0.0
62.1	5103.121	510.3121	-0.35	1.165	62.1148	0.0	0.0	0.0
