[2024-07-18 12:46:35,275] [INFO] [<ipython-input-4-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:47:25,509] [INFO] [<ipython-input-4-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:48:16,321] [INFO] [<ipython-input-4-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:48:50,035] [INFO] [<ipython-input-4-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:49:45,924] [INFO] [<ipython-input-4-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:50:11,808] [INFO] [<ipython-input-4-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:50:37,732] [INFO] [<ipython-input-4-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:51:03,600] [INFO] [<ipython-input-4-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:52:10,387] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:52:36,149] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:53:01,921] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:53:27,714] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:53:53,549] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:54:49,846] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:55:15,671] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:55:50,516] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:56:43,984] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:57:09,711] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:57:52,171] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 12:58:17,981] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:00:37,115] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:01:02,851] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:01:46,012] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:02:11,830] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:02:37,602] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:03:37,622] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:04:03,381] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:04:29,129] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:04:54,869] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:05:20,696] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:06:05,998] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:06:31,827] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:08:26,955] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:08:52,581] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:09:18,221] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:09:43,677] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:11:58,732] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:12:24,303] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:12:49,888] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:13:15,182] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:13:40,432] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:14:05,247] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:14:29,596] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:14:53,698] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:18:40,493] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:19:06,150] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:19:31,601] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:19:56,917] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:20:22,099] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:20:47,039] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:21:11,729] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:21:36,534] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:22:00,963] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:22:24,850] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:22:48,574] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:24:57,125] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:25:22,672] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:25:48,201] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:26:13,608] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:26:38,937] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:27:04,019] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:27:28,871] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:27:53,432] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:28:17,819] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:28:41,764] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:29:05,191] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:55:08,389] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:55:34,311] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
[2024-07-18 13:57:40,191] [INFO] [<ipython-input-14-04a8ffe2e8b6>:normalize_whole_spectrum_with_template:26]: Continuum normalization...
